,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,
聖者のぼうし,130,120,160,140,0,0,0,0,0,,,,,,,,,,,
インテリハット,125,160,160,160,0,0,0,0,0,,,,,,,,,,,
トレジャーキャップ,175,100,175,100,0,0,0,0,0,,,,,,,,,,,
学者のぼうし,45,45,75,30,0,0,0,0,0,,,,,,,,,,,
王宮魔術師帽,176,176,176,176,0,0,0,0,0,,,,,,,,,,,
古代魔術のぼうし,120,180,160,180,0,0,0,0,0,,,,,,,,,,,
古武道のずきん,140,200,100,200,0,0,0,0,0,,,,,,,,,,,
占星術師のターバン,125,125,175,125,0,0,0,0,0,,,,,,,,,,,
木の葉のぼうし,45,60,75,75,0,0,0,0,0,,,,,,,,,,,
だいまどうのぼうし,150,170,258,170,0,0,0,0,0,,,,,,,,,,,
大賢者のミトラ,200,160,160,160,0,0,0,0,0,,,,,,,,,,,
歌詠みのヘアバンド,160,150,200,170,0,0,0,0,0,,,,,,,,,,,
月のサークレット,150,150,150,150,0,0,0,0,0,,,,,,,,,,,
原始獣のシャプカ,180,120,180,120,0,0,0,0,0,,,,,,,,,,,
さとりのかんむり,140,200,230,200,0,0,0,0,0,,,,,,,,,,,
ステージリボン,220,160,160,160,0,0,0,0,0,,,,,,,,,,,
ステージバンド,175,175,175,175,0,0,0,0,0,,,,,,,,,,,
タイフーンゴーグル,130,220,200,220,0,0,0,0,0,,,,,,,,,,,
退魔のぼうし,160,180,250,180,0,0,0,0,0,,,,,,,,,,,
レイブンヘッド,130,170,230,170,0,0,0,0,0,,,,,,,,,,,
チェイサーバンド,150,200,130,200,0,0,0,0,0,,,,,,,,,,,
ひつじのずきん,100,210,180,210,0,0,0,0,0,,,,,,,,,,,
聖賢者のミトラ,160,226,180,226,0,0,0,0,0,,,,,,,,,,,
黄龍のはちまき,210,150,210,150,0,0,0,0,0,,,,,,,,,,,
古代王族のターバン,160,190,252,190,0,0,0,0,0,,,,,,,,,,,
獄獣のターバン,174,174,238,174,0,0,0,0,0,,,,,,,,,,,
舞い手のヘアバンド,216,180,260,180,0,0,0,0,0,,,,,,,,,,,
風虎のはちがね,180,180,240,180,0,0,0,0,0,,,,,,,,,,,
信託のぼうし,239,190,239,190,0,0,0,0,0,,,,,,,,,,,
究明者のフード,175,215,253,215,0,0,0,0,0,,,,,,,,,,,
トーテムクラウン,200,200,200,200,0,0,0,0,0,,,,,,,,,,,
巨商のターバン,240,170,300,170,0,0,0,0,0,普,？,弱,強,最,？,－,,,,
賢哲のターバン,231,231,231,231,0,0,0,0,0,普,？,弱,？,最,－,,,,,
ヴァンガードハット,194,230,270,230,0,0,0,0,0,,,,,,,,,,,
クルーガーハット,194,207,296,207,0,0,0,0,0,,,,,,,,,,,
エトワールハット,210,225,264,225,0,0,0,0,0,,,,,,,,,,,
トライバルヘッド,210,210,210,210,0,0,0,0,0,,,,,,,,,,,
族長のバンダナ,235,228,255,228,0,0,0,0,0,,,,,,,,,,,
カテドラルミトル,215,215,215,215,0,0,0,0,0,,,,,,,,,,,
ポールスターハット,206,197,260,197,0,0,0,0,0,,,,,,,,,,,
大怪傑のはちまき,190,255,255,255,0,0,0,0,0,,,,,,,,,,,
タンブラーバンダナ,200,223,223,223,0,0,0,0,0,,,,,,,,,,,
ソポスの額冠,175,220,220,340,0,0,0,0,0,,,,,,,,,,,
神技のフード,255,255,200,255,0,0,0,0,0,強,普,？,最,弱,－,,,,,
ヴィーラのバンダナ,200,200,220,270,0,0,0,0,0,,,,,,,,,,,
アビスハット,320,220,220,220,0,0,0,0,0,,,,,,,,,,,
開祖のぼうし,260,260,260,260,0,0,0,0,0,弱,？,普,最,強,－,,,,,
かぜのぼうし,300,220,150,220,0,0,0,0,0,,,,,,,,,,,
ひかりサークレット,130,270,300,270,0,0,0,0,0,,,,,,,,,,,
ワンダラーズベレー,260,260,190,190,0,0,0,0,0,強,弱,？,？,最,普,－,,,,
グレイスフルハット,230,300,230,230,0,0,0,0,0,強,弱,？,？,最,普,－,,,,
妖炎魔女の髪飾り,220,220,220,400,0,0,0,0,0,強,弱,？,？,最,普,－,,,,
ロードリーコサージ,190,300,250,190,0,0,0,0,0,弱,？,？,最,普,強,－,,,,
空賊のバンダナ,250,220,400,220,0,0,0,0,0,弱,？,？,最,普,強,－,,,,
聖翼の髪飾り,180,180,300,350,0,0,0,0,0,弱,？,？,最,普,強,－,,,,
ふしぎなぼうし,430,200,300,200,0,0,0,0,0,弱,？,？,最,？,？,強,普,－,,
しっこくのターバン,340,170,170,340,0,0,0,0,0,,,,,,,－,,,,
スパングルフェザー,200,350,200,500,0,0,0,0,0,,,,,,,－,,,,
乱破の額当て,500,200,200,370,0,0,0,0,0,,,,,,,－,,,,
プロディトヘッド,200,285,400,285,0,0,0,0,0,,,,,,,－,,,,
オスクトルクラウン,330,210,330,210,0,0,0,0,0,,,,,,,－,,,,
隠密のはちまき,220,190,510,430,0,0,0,0,0,,,,,,,－,,,,
瑞雲の髪飾り,420,480,270,140,0,0,0,0,0,,,,,,,－,,,,
陰陽博士のぼうし,300,200,260,340,0,0,0,0,0,,,,,,,－,,,,
烈風のキャップ,420,290,140,320,0,0,0,0,0,,,,,,,－,,,,
妖精郷の花髪,290,150,450,490,0,0,0,0,0,,,,,,,－,,,,
アンテイクトーク,460,410,180,310,0,0,0,0,0,,,,,,,－,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,－,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,－,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,－,,,,
皮のよろい,15,15,15,15,15,15,15,15,15,,,,,,,,,,,
前座芸人の服,15,15,15,15,15,15,15,15,15,,,,,,,,,,,
麻の服,15,15,15,15,15,15,15,15,15,,,,,,,,,,,
若手芸人の服,15,15,23,15,15,15,15,15,15,,,,,,,,,,,
ぬすっとの服,15,15,15,15,15,15,15,15,23,,,,,,,,,,,
いやしの服,23,15,15,15,15,15,15,15,25,,,,,,,,,,,
きぬのローブ上,15,15,15,15,15,15,23,15,15,,,,,,,,,,,
しゅうれんぎ上,23,15,15,15,15,15,23,15,23,,,,,,,,,,,
サフランローブ上,15,15,23,15,15,15,23,15,23,,,,,,,,,,,
くすしのローブ上,15,15,15,15,15,15,30,15,23,,,,,,,,,,,
はやてのベスト,23,23,23,23,23,23,23,23,23,,,,,,,,,,,
みかわしの服上,23,23,23,23,23,23,23,23,23,,,,,,,,,,,
手品師の服,23,23,23,23,23,23,23,23,23,,,,,,,,,,,
カンフージャケット,30,23,30,23,23,23,40,23,40,,,,,,,,,,,
マタドールスーツ上,35,23,35,23,23,23,35,23,35,,,,,,,,,,,
まじないしローブ上 再生布,40,23,23,23,23,30,30,23,40,,,,,,,,,,,
まもりのローブ 再生布,30,23,30,23,23,23,30,23,50,,,,,,,,,,,
けんぽうぎ上 再生布,40,32,40,32,32,32,45,32,45,,,,,,,,,,,
まどうしのころも上 虹布,32,32,32,32,32,32,53,32,53,,,,,,,,,,,
神官のほうい上 再生布,40,32,40,32,32,32,40,32,50,,,,,,,,,,,
かたりべの服上 虹布,32,32,40,40,32,32,45,32,45,,,,,,,,,,,
森人のチョッキ,45,32,45,32,32,32,40,32,40,,,,,,,,,,,
きじゅつしの服 虹布,60,35,50,45,40,45,70,35,70,,,,,,,,,,,
司祭のほうい 再生布,60,35,60,40,50,40,60,35,70,,,,,,,,,,,
フェンサーマント 再生布,55,35,70,45,40,45,70,35,55,,,,,,,,,,,
水のはごろも上 虹布,70,35,70,45,40,45,55,35,55,,,,,,,,,,,
ホーリーローブ上 再生布,55,35,55,50,40,50,65,35,65,,,,,,,,,,,
無法者のベスト 再生布,80,35,70,45,50,45,60,35,80,,,,,,,,,,,
月のローブ上,90,45,90,70,50,70,100,45,100,,,,,,,,,,,
しんりのローブ上 虹布,65,35,65,50,40,50,80,35,80,,,,,,,,,,,
マスターベスト 虹布,70,35,70,55,40,55,70,35,70,,,,,,,,,,,
占星術師のローブ上,65,40,65,55,50,55,90,40,90,,,,,,,,,,,
聖者のほうい,75,40,75,60,50,60,75,40,75,,,,,,,,,,,
トレジャーコート上：再生布,100,40,50,60,50,60,50,40,100,,,,,,,,,,,
ウエスタンブラウス,30,23,30,23,23,23,50,23,30,,,,,,,,,,,
初級魔法戦士服,30,15,15,15,15,15,15,15,23,,,,,,,,,,,
王宮魔術師のローブ上,90,45,90,72,60,72,115,45,115,普,？,強,弱,最,－,,,,,
古代魔術のほうい上,80,65,90,55,60,55,90,65,80,,,,,,,,,,,
インテリローブ上,70,40,70,65,55,65,100,40,100,,,,,,,,,,,
だいまどうローブ上,75,45,134,90,60,90,134,45,75,,,,,,,,,,,
エルフぬいぐるみ女,0,120,0,65,90,65,65,80,65,,,,,,,,,,,
エルフぬいぐるみ男,0,100,0,70,80,70,70,90,70,,,,,,,,,,,
求道者の道着上,90,45,105,70,60,70,105,45,90,,,,,,,,,,,
原始獣のコート上,95,40,95,60,60,60,75,40,75,,,,,,,,,,,
ウェディぬいぐるみ男,0,100,0,90,50,90,70,80,70,,,,,,,,,,,
ひつじのころも上,90,45,90,70,60,70,115,45,115,,,,,,,,,,,
さとりのころも,100,60,100,75,60,75,120,60,120,,,,,,,,,,,
歌詠みのころも上,90,45,90,70,60,70,105,45,105,,,,,,,,,,,
タイフーンレザー上,120,75,100,60,60,60,100,75,120,,,,,,,,,,,
退魔の装束上,115,45,105,90,60,90,105,45,115,,,,,,,,,,,
拳聖の道着上,80,40,80,65,50,65,90,40,90,,,,,,,,,,,
古武道着上,80,45,80,60,60,60,105,45,105,,,,,,,,,,,
チェイサーレザー上,90,60,90,70,60,70,90,60,90,,,,,,,,,,,
レイブンスーツ,100,60,100,60,60,60,100,60,100,,,,,,,,,,,
聖賢者のローブ上,131,75,131,60,60,60,100,75,100,,,,,,,,,,,
黄龍の道着,90,60,105,75,60,75,105,60,90,,,,,,,,,,,
古代王族のベスト,126,45,126,90,60,90,105,45,105,,,,,,,,,,,
精霊王のクローク上,120,60,120,75,90,75,120,60,120,普,？,弱,強,最,？,強,－,,,
獄獣のケープ,100,75,100,60,90,60,100,75,100,,,,,,,,,,,
舞い手の服,105,60,150,75,60,75,150,60,105,普,？,弱,強,最,？,強,－,,,
究明者のコート,150,60,115,75,60,75,115,60,150,,,,,,,,,,,
竜族ぬいぐるみ男,0,130,0,90,60,90,60,60,60,,,,,,,,,,,
竜族ぬいぐるみ女,0,100,0,75,75,75,75,75,75,,,,,,,,,,,
風虎の道着,100,90,90,60,100,60,90,90,100,,,,,,,,,,,
神託のローブ上,105,75,105,75,140,75,105,75,105,,,,,,,,,,,
オーガの人形・男,0,100,0,75,50,75,75,100,75,,,,,,,,,,,
オーガの人形・女,0,110,0,70,50,70,70,110,70,,,,,,,,,,,
プクリポの人形・男,0,140,0,70,50,70,70,80,70,,,,,,,,,,,
プクリポの人形・女,0,140,0,75,50,75,75,60,75,,,,,,,,,,,
ドワーフの人形・男,0,160,0,65,65,65,65,65,65,,,,,,,,,,,
ドワーフの人形・女,0,160,0,70,55,70,70,55,70,,,,,,,,,,,
トーテムケープ上,90,75,90,75,140,75,90,75,90,,,,,,,,,,,
フォーチュンローブ上,150,60,125,75,60,75,125,60,150,,,,,,,,,,,
巨商のころも,110,75,110,75,140,75,110,75,110,普,？,弱,強,最,？,強,－,,,
賢哲のころも上,140,96,96,60,140,60,96,96,140,普,？,弱,強,最,？,強,－,,,
武神の道着上,100,75,100,75,140,75,100,75,100,普,？,弱,？,最,－,－,－,,,
ヴァンガードコート,120,68,150,90,68,90,150,68,120,,,,,,,,,,,
クルーガースーツ上,105,75,105,87,150,87,110,75,110,,,,,,,,,,,
エトワールコート上,130,90,112,65,130,65,112,90,130,普,？,強,弱,最,－,,,,,
トライバルトップ,100,70,100,85,130,85,100,70,100,普,？,強,弱,最,－,,,,,
族長のケープ上,108,89,105,87,168,87,105,89,108,普,？,弱,強,最,？,強,－,,,
カテドラルローブ,100,98,100,100,150,100,100,98,100,普,？,強,弱,最,－,,,,,
ポールスタートップ,136,90,112,70,130,70,112,90,136,,,,,,,,,,,
大怪傑の装束,115,70,115,90,130,90,115,115,115,,,,,,,,,,,
タンブラーシャツ,100,80,100,135,120,135,95,95,95,,,,,,,,,,,
ソポスのころも上,70,90,130,70,130,145,115,90,115,普,？,弱,？,強,最,－,,,,
神技のベスト,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
ヴィーラのころも上,80,80,80,140,130,120,120,110,100,,,,,,,,,,,
アビスセーラー上,80,125,80,145,150,145,80,90,80,強,普,？,最,弱,－,－,,,,
開祖の道着上,140,90,140,90,140,90,110,110,110,弱,？,普,最,強,－,,,,,
かぜのマント,70,90,70,100,120,100,130,150,130,,,,,,,,,,,
ひかりのローブ,120,105,90,100,150,100,90,105,120,弱,？,普,最,強,－,,,,,
ワンダラーズマント,120,150,120,90,120,90,90,100,90,強,弱,？,？,最,普,－,,,,
グレイスフルコート,120,130,120,90,170,90,70,130,70,強,弱,？,？,最,普,－,,,,
妖炎魔女のドレス上,200,70,70,110,130,110,110,130,110,強,弱,？,？,最,普,－,,,,
ロードリーローブ上,60,120,60,150,120,150,60,150,60,弱,？,？,最,普,強,－,,,,
空賊のシャツ,130,70,130,140,130,140,100,100,100,弱,？,？,最,普,強,－,,,,
聖翼のドレス上,80,80,80,130,180,130,100,100,100,弱,？,？,最,普,強,－,,,,
聖翼のドレス下（検討用）,100,240,0,240,100,0,140,140,0,弱,？,？,最,普,強,－,,,,
ふしぎなボレロ上,140,100,140,100,200,100,80,100,80,弱,？,？,最,？,？,強,普,－,,
しっこくのマント,70,100,70,100,150,100,120,140,120,弱,？,？,最,？,？,強,普,－,,
スパングルドレス上,180,70,180,70,200,70,120,120,120,弱,？,？,最,？,？,強,普,－,,
プロディトスーツ上,90,70,90,160,200,160,120,100,120,弱,？,最,？,？,普,普,強,？,－,
乱破の忍び装束上,220,80,80,100,120,120,130,130,130,弱,？,最,？,？,普,普,強,？,－,
プロディトスーツ上,90,70,90,160,200,160,120,100,120,弱,？,最,？,？,普,普,強,？,－,
オスクトルローブ上,120,80,120,70,160,70,140,140,140,弱,？,最,？,？,普,普,強,？,－,
隠密の装束上,210,100,180,110,140,130,90,120,100,強,最,？,弱,？,強,？,？,普,？,－
瑞雲の道服上,230,160,220,110,100,120,90,140,90,強,最,？,弱,？,強,？,？,普,？,－
陰陽博士のころも上,150,180,150,90,150,90,130,100,110,強,最,？,弱,？,強,？,？,普,？,－
烈風のころも上,100,150,100,140,120,90,170,90,150,普,最,？,強,？,弱,？,？,普,？,－
妖精郷の舞踏服上,120,160,110,130,90,190,100,130,90,普,最,？,強,？,弱,？,？,普,？,－
アンテイクドレス上,180,100,190,120,90,130,110,160,80,普,最,？,強,？,弱,？,？,普,？,－
アンテイク頭（検討用）,0,460,0,410,180,310,0,0,0,普,最,？,強,？,弱,？,？,普,？,－
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
皮のズボン,15,15,15,15,15,15,0,0,0,,,,,,,,,,,
前座芸人のズボン,15,15,15,15,15,15,0,0,0,,,,,,,,,,,
麻の短パン,15,15,15,15,15,15,0,0,0,,,,,,,,,,,
若手芸人のズボン,23,23,15,15,15,15,0,0,0,,,,,,,,,,,
ぬすっとタイツ,15,15,15,15,23,23,0,0,0,,,,,,,,,,,
いやしのズボン,23,15,15,15,15,23,0,0,0,,,,,,,,,,,
きぬのローブ下,15,15,23,23,15,15,0,0,0,,,,,,,,,,,
しゅうれんぎ下,30,23,23,23,23,23,0,0,0,,,,,,,,,,,
サフランローブ下,23,23,30,23,23,23,0,0,0,,,,,,,,,,,
くすしのローブ下,23,23,23,23,23,30,0,0,0,,,,,,,,,,,
はやてのキュロット,35,35,40,40,23,23,0,0,0,,,,,,,,,,,
みかわしの服下,40,40,35,35,23,23,0,0,0,,,,,,,,,,,
手品師のタイツ,23,23,35,35,40,40,0,0,0,,,,,,,,,,,
カンフーズボン 再生布,75,30,45,45,30,30,0,0,0,,,,,,,,,,,
マタドールスーツ下 再生布,38,37,60,60,30,30,0,0,0,,,,,,,,,,,
まじないしローブ下 再生布,60,30,38,37,30,60,0,0,0,,,,,,,,,,,
けんぽうぎ下,65,65,55,55,45,45,0,0,0,,,,,,,,,,,
まどうしのころも下 虹布,70,70,50,60,45,35,0,0,0,,,,,,,,,,,
神官のほうい下 再生布,45,45,55,55,65,65,0,0,0,,,,,,,,,,,
かたりべの服下 虹布,70,75,60,55,35,35,0,0,0,,,,,,,,,,,
水のはごろも下,60,60,75,75,90,90,0,0,0,,,,,,,,,,,
きじゅつしのズボン 虹布,100,50,75,100,50,75,0,0,0,,,,,,,,,,,
ホーリーローブ下,130,90,65,65,50,50,0,0,0,,,,,,,,,,,
マスタースラックス,83,83,83,83,83,83,0,0,0,,,,,,,,,,,
無法者のズボン,110,110,80,80,60,60,0,0,0,,,,,,,,,,,
森人の前かけ,70,70,55,55,40,40,0,0,0,,,,,,,,,,,
しんりのローブ下,60,60,75,75,115,115,0,0,0,,,,,,,,,,,
インテリローブ下,140,140,92,93,70,70,0,0,0,,,,,,,,,,,
王宮魔術師ローブ下,152,152,120,120,80,80,0,0,0,,,,,,,,,,,
古代魔術のほうい下,120,90,90,130,120,90,0,0,0,,,,,,,,,,,
ミラクルコート下,200,80,74,120,140,90,0,0,0,,,,,,,,,,,
古武道着下,135,80,105,105,80,135,0,0,0,,,,,,,,,,,
学者のころも下,35,40,40,35,23,23,0,0,0,,,,,,,,,,,
木の葉のよろい下,45,60,45,45,30,30,0,0,0,,,,,,,,,,,
求道者の道着下,150,150,110,110,80,80,0,0,0,,,,,,,,,,,
歌詠みのころも下,85,85,105,105,150,150,0,0,0,,,,,,,,,,,
古代魔術のほうい下,120,90,90,130,120,90,0,0,0,,,,,,,,,,,
月のローブ下,160,100,90,75,100,75,0,0,0,,,,,,,,,,,
ひつじのころも下,110,110,120,120,120,120,0,0,0,,,,,,,,,,,
退魔の装束下,105,150,150,130,130,105,0,0,0,,,,,,,,,,,
タイフーンレザー下,160,160,125,125,100,100,0,0,0,,,,,,,,,,,
チェイサーレザー下,140,140,110,110,90,90,0,0,0,,,,,,,,,,,
ステージチュチュ下,200,80,70,120,140,90,0,0,0,,,,,,,,,,,
聖賢者のローブ下,100,100,130,130,166,166,0,0,0,普,？,弱,？,強,普,最,,,,
古代王族のボトムス,130,130,170,170,96,96,0,0,0,,,,,,,,,,,
古代王族のボトムス,130,130,170,170,96,96,0,0,0,,,,,,,,,,,
精霊王のクローク下,171,171,136,136,111,111,0,0,0,,,,,,,,,,,
獄獣のズボン,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
舞い手の服下,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
信託のローブ下,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
究明者のコート下,170,170,140,140,120,120,0,0,0,,,,,,,,,,,
トーテムケープ下,100,130,130,170,170,100,0,0,0,,,,,,,,,,,
フォーチュンローブ下,170,170,145,145,125,125,0,0,0,,,,,,,,,,,
巨商の前かけ,150,185,185,150,105,105,0,0,0,,,,,,,,,,,
賢哲のころも下,110,192,192,160,160,110,0,0,0,,,,,,,,,,,
武神の道着下,160,160,140,140,120,120,0,0,0,,,,,,,,,,,
クルーガースーツ下,120,120,182,182,150,150,0,0,0,,,,,,,,,,,
エトワールコート下,105,156,156,201,201,105,0,0,0,,,,,,,,,,,
トライバルボトム,135,135,120,120,165,165,0,0,0,,,,,,,,,,,
族長のケープ下,168,140,168,190,135,145,0,0,0,,,,,,,,,,,
ポールスターボトム,136,136,183,183,154,154,0,0,0,,,,,,,,,,,
大怪傑の装束下,180,145,180,150,125,125,0,0,0,普,？,弱,？,強,最,－,,,,
タンブラーボトム,145,145,160,160,120,120,0,0,0,,,,,,,,,,,
ソポスのころも下,133,195,133,195,150,150,0,0,0,普,？,弱,？,強,最,－,,,,
神技のボトム下,178,200,200,178,80,80,0,0,0,,,,,,,,,,,
ヴィーラのころも下,150,135,160,140,170,100,0,0,0,,,,,,,,,,,
アビスセーラー下,170,150,150,200,100,200,0,0,0,,,,,,,,,,,
開祖の道着下,200,300,135,135,135,135,0,0,0,,,,,,,,,,,
グレイスフルボトム,170,200,200,170,100,100,0,0,0,強,弱,？,？,最,普,－,,,,
妖炎魔女のドレス下,250,250,150,130,130,150,0,0,0,強,弱,？,？,最,普,－,,,,
ロードリーローブ下,100,100,150,150,200,200,0,0,0,弱,？,？,最,普,強,－,,,,
空賊のズボン,190,300,190,100,190,100,0,0,0,弱,？,？,最,普,強,－,,,,
聖翼のドレス下,100,240,240,100,140,140,0,0,0,弱,？,？,最,普,強,－,,,,
ふしぎなボレロ下,150,180,180,150,200,200,0,0,0,,,,,,,,,,,
スパングルドレス下,90,400,300,90,130,130,0,0,0,,,,,,,,,,,
乱破の忍び装束下,170,120,120,140,220,220,0,0,0,,,,,,,,,,,
プロディトスーツ下,90,300,270,250,120,120,0,0,0,,,,,,,,,,,
オスクトルローブ下,180,120,120,180,240,240,0,0,0,,,,,,,,,,,
隠密の装束下,280,370,90,150,170,190,0,0,0,強,最,？,弱,？,強,？,？,普,？,－
瑞雲の道服下,290,250,140,210,190,120,0,0,0,強,最,？,弱,？,強,？,？,普,？,－
陰陽博士のころも下,220,240,140,170,160,130,0,0,0,強,最,？,弱,？,強,？,？,普,？,－
烈風のころも下,180,200,270,110,90,240,0,0,0,,,,,,,,,,,
妖精郷の舞踏服下,80,270,260,100,140,290,0,0,0,,,,,,,,,,,
アンテイクドレス下,290,100,140,260,340,90,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
皮のてぶくろ,15,15,15,15,15,15,0,0,0,,,,,,,,,,,
前座芸人のうでわ,15,15,15,15,15,15,0,0,0,,,,,,,,,,,
麻のてぶくろ,15,15,15,15,15,15,0,0,0,,,,,,,,,,,
若手芸人のてぶくろ,15,15,23,15,15,23,0,0,0,,,,,,,,,,,
ぬすっとのうでわ,23,15,15,23,15,15,0,0,0,,,,,,,,,,,
しゅうれん用リスト,23,23,30,23,23,23,0,0,0,,,,,,,,,,,
サフラングローブ,23,23,23,30,23,23,0,0,0,,,,,,,,,,,
はやてのグローブ,30,23,45,30,23,45,0,0,0,,,,,,,,,,,
手品師のグローブ,45,23,30,30,23,45,0,0,0,,,,,,,,,,,
カンフーリスト 再生布,38,30,60,37,30,60,0,0,0,,,,,,,,,,,
マタドールグローブ,30,30,60,45,30,60,0,0,0,,,,,,,,,,,
けんぽうの腕帯,55,35,75,55,35,75,0,0,0,,,,,,,,,,,
かたりべのてぶくろ 虹布,45,45,75,45,45,75,0,0,0,,,,,,,,,,,
フェンサーミサンガ,60,60,105,60,60,105,0,0,0,,,,,,,,,,,
木の葉のうでわ,45,30,55,40,30,55,0,0,0,,,,,,,,,,,
森人のてぶくろ,50,35,80,50,35,80,0,0,0,,,,,,,,,,,
神官のてぶくろ,50,40,75,50,40,75,0,0,0,,,,,,,,,,,
きじゅつしグローブ 虹布,70,45,110,70,45,110,0,0,0,,,,,,,,,,,
司祭のてぶくろ 再生布,75,45,105,105,45,75,0,0,0,,,,,,,,,,,
古代魔術のうでわ,70,110,140,70,110,140,0,0,0,,,,,,,,,,,
古武道のうでわ,105,105,110,105,105,110,0,0,0,,,,,,,,,,,
マスターアーム,85,50,115,85,50,115,0,0,0,,,,,,,,,,,
原始獣のグローブ,100,50,150,100,50,150,0,0,0,,,,,,,,,,,
黒曜のカーペット,80,115,80,80,115,80,0,0,0,,,,,,,,,,,
水晶のカーペット,124,90,160,124,90,160,0,0,0,,,,,,,,,,,
チェスボードラグ,100,75,100,100,75,100,0,0,0,,,,,,,,,,,
モーモンラグ,120,70,120,85,70,85,0,0,0,,,,,,,,,,,
ドラキーラグ,80,70,80,125,70,125,0,0,0,,,,,,,,,,,
ピンクモーモンラグ,125,60,125,90,60,90,0,0,0,,,,,,,,,,,
スライムのカーペット,50,80,50,120,130,120,0,0,0,,,,,,,,,,,
ごうかなラグ大,65,35,65,65,35,65,0,0,0,,,,,,,,,,,
ごうかなラグ中,60,30,60,60,30,60,0,0,0,,,,,,,,,,,
ごうかなラグ小,45,30,60,45,30,60,0,0,0,,,,,,,,,,,
求道者のてぶくろ,120,60,160,120,60,160,0,0,0,,,,,,,,,,,
ひつじのてぶくろ,100,110,140,100,110,140,0,0,0,,,,,,,,,,,
タイフーングローブ,125,95,165,125,95,165,0,0,0,,,,,,,,,,,
歌詠みのブレス,115,70,155,115,155,70,0,0,0,,,,,,,,,,,
チェイサーアーム,110,70,130,90,170,110,0,0,0,,,,,,,,,,,
クラウングローブ,85,75,130,90,140,120,0,0,0,,,,,,,,,,,
さとりのグローブ,100,125,160,100,125,160,0,0,0,,,,,,,,,,,
退魔のうでわ,130,130,165,90,165,90,0,0,0,,,,,,,,,,,
星空のラグ,80,70,100,80,70,100,0,0,0,,,,,,,,,,,
チェックのラグ・赤,115,95,130,130,95,115,0,0,0,,,,,,,,,,,
サクランボのラグ,95,60,95,95,60,95,0,0,0,,,,,,,,,,,
エンドウマメのラグ,75,55,75,95,55,95,0,0,0,,,,,,,,,,,
音符のラグ,60,45,60,60,45,60,0,0,0,,,,,,,,,,,
ふわふわ雲のラグ,90,70,90,90,70,90,0,0,0,,,,,,,,,,,
黄竜のうでわ,125,90,145,125,90,145,0,0,0,,,,,,,,,,,
